year,temp,E.Growth,P.Growth,Power,Coal,Renewable,Petroleum,Hydro.E,Nuclear.E,CO2,Japan
1981,284.4,7.2,1.56,0.915,1.5244,2.492,2.658,0.677,0.0724,1.3959,1.0128122
1982,285.4,8.3,1.55,0.963,1.5451,2.417,2.6312,0.501,0.0944,1.4608,0.9903343
1983,285.3,13.4,1.47,1.068,1.6491,2.378,2.7629,0.681,0.2241,1.4578,0.9495655
1984,284.8,10.6,1.23,1.164,1.9867,2.492,2.7629,0.6,0.2948,1.5877,1.0177783
1985,285.1,7.8,0.98,1.243,2.2022,2.031,2.7142,0.915,0.4186,1.7901,0.9913023
1986,284.5,11.3,0.99,1.367,2.333,1.48,2.8499,1.005,0.7078,1.8751,0.9875898
1987,285.2,12.7,0.99,1.543,2.3639,1.319,2.9653,1.336,0.9829,1.952,0.9938756
1988,285.1,12,0.98,1.771,2.5162,1.164,3.539,0.892,1.0025,2.0085,1.0660633
1989,285.8,7.1,0.99,1.939,2.4493,1.033,4.0524,1.14,1.1841,2.269,1.0959545
1990,286.1,9.9,0.99,2.202,2.4124,0.797,5.0175,1.59,1.3222,2.3831,1.1582224
1991,285.2,10.8,0.99,2.412,2.4206,0.618,5.9627,1.263,1.4078,2.6806,1.1662019
1992,285.4,6.2,1.04,2.639,2.357,0.722,7.174,1.216,1.4133,2.9309,1.1705308
1993,284.8,6.9,1.02,2.899,2.584,0.742,7.8495,1.502,1.4535,3.1177,1.16170899
1994,286.2,9.3,1.01,3.297,2.6533,0.906,8.6364,1.025,1.4663,3.418,1.2187766
1995,285,9.6,1.01,3.64,2.7495,1.05,9.3956,1.37,1.6757,3.6853,1.2338624
1996,285.1,7.9,0.95,4.006,3.21,1.161,9.9923,1.3,1.8481,4.0053,1.2467702
1997,285.7,6.2,0.94,4.366,3.4927,1.344,10.9372,1.351,1.9271,4.2647,1.2405656
1998,286.5,-5.1,0.72,4.167,3.6051,1.526,9.0904,1.525,2.2422,4.4922,1.20176289
1999,285.8,11.5,0.71,4.572,3.8157,1.806,9.7556,1.517,2.5766,3.8435,1.24170674
2000,285.5,9.1,0.84,5.067,4.2925,2.13,10.0619,1.403,2.7241,4.204,1.2602775
2001,285.7,4.9,0.77,5.444,4.5724,2.456,10.0828,1.038,2.8033,4.7843,1.24551215
2002,285.6,7.7,0.58,5.845,4.9131,2.925,10.3034,1.327,2.9776,4.9245,1.28368817
2003,285.5,3.1,0.52,6.126,5.1124,3.241,10.3073,1.722,3.2418,4.8871,1.28769044
2004,286.2,5.2,0.4,6.491,5.3198,3.977,10.1085,1.465,3.2679,4.9279,1.28617053
2005,285.3,4.3,0.21,6.883,5.4796,3.961,10.2197,1.297,3.6695,5.1286,1.2940914
2006,285.9,5.3,0.53,7.191,5.6652,4.358,10.2555,1.305,3.7187,5.1297,1.2924602
2007,286.2,5.8,0.51,7.607,5.9653,4.828,10.5718,1.084,3.0732,5.231,1.31546795
2008,285.9,3,0.76,7.922,6.61,5.198,10.0373,1.196,3.2456,5.3016,1.22964796
2009,286,0.8,0.51,8.092,6.8595,5.48,10.2535,1.213,3.1771,5.4076,1.16240778
2010,285.7,6.8,0.5,8.883,7.7142,6.064,10.45,1.392,3.1948,5.4966,1.22312583
2011,285.4,3.7,0.77,9.142,8.3687,6.618,10.5459,1.684,3.3266,5.9351,1.25947329
2012,285.3,2.4,0.53,9.331,8.0636,8.036,10.6134,1.615,3.1719,6.1087,1.30032687
2013,285.9,3.2,0.46,9.285,8.1544,8.987,10.5515,1.771,2.9283,6.0629,1.32462196
2014,286.1,3.2,0.63,9.305,8.4399,10.956,10.4644,1.65,3.3002,6.0252,1.28347769
2015,286.4,2.8,0.53,9.555,8.5401,12.839,10.909,1.223,3.4765,5.9841,1.25479985
2016,286.6,2.9,0.4,9.699,8.1499,13.575,11.7605,1.4,3.4181,6.0132,1.23959206
